iter	RMSE
0	77847.2394
1	76348.3797
2	74844.6621
3	73423.48676
4	72085.56528
5	70759.88293
6	69460.32134
7	68092.37107
8	66997.77624
9	65767.30226
10	64604.94406
11	63418.34743
12	62243.12429
13	61148.37481
14	60043.32316
15	59026.42069
16	58014.72386
17	57100.36699
18	56208.98229
19	55259.92393
20	54399.72308
21	53487.44785
22	52616.81044
23	51789.40507
24	51014.95537
25	50308.55635
26	49511.4671
27	48773.96176
28	48105.22645
29	47440.52055
30	46784.61321
31	46176.38998
32	45566.41143
33	44979.76145
34	44483.82069
35	43865.06045
36	43327.62433
37	42794.33468
38	42277.68233
39	41783.92896
40	41359.25092
41	40817.83941
42	40384.22559
43	39905.12426
44	39516.89989
45	39067.53532
46	38643.05943
47	38251.11597
48	37847.30402
49	37427.03048
50	36986.13801
51	36620.8627
52	36321.28397
53	35961.09684
54	35625.75259
55	35270.6356
56	34901.60279
57	34595.82196
58	34288.95011
59	33978.38541
60	33645.19497
61	33339.03075
62	33067.25398
63	32791.4719
64	32548.95346
65	32299.23869
66	32052.78593
67	31834.02434
68	31586.03574
69	31350.08257
70	31108.31848
71	30851.56798
72	30632.42668
73	30405.42091
74	30164.09516
75	29923.52082
76	29716.95199
77	29507.14397
78	29306.32713
79	29088.83585
80	28894.50489
81	28715.52187
82	28512.156
83	28328.71113
84	28175.35484
85	27995.48132
86	27796.15707
87	27637.18054
88	27409.89517
89	27281.64325
90	27130.63384
91	27024.11393
92	26895.945
93	26732.29652
94	26598.98994
95	26466.53656
96	26352.35276
97	26224.53101
98	26095.97868
99	25943.49162
100	25844.27655
101	25738.10932
102	25626.27383
103	25495.50487
104	25359.35403
105	25243.86199
106	25112.81835
107	24983.58312
108	24899.93671
109	24805.77518
110	24695.69472
111	24576.95708
112	24443.58052
113	24341.42679
114	24256.21524
115	24163.20621
116	24063.27264
117	23975.27374
118	23893.27518
119	23794.13048
120	23708.50768
121	23626.79547
122	23538.82768
123	23443.20001
124	23367.84826
125	23254.34927
126	23151.80023
127	23096.865
128	23012.91876
129	22959.56505
130	22868.43521
131	22789.48418
132	22693.59475
133	22628.31469
134	22541.50669
135	22464.01152
136	22391.44598
137	22302.09116
138	22228.07364
139	22174.36838
140	22117.94479
141	22073.30563
142	22030.90138
143	21969.41973
144	21913.01719
145	21866.94718
146	21787.90121
147	21732.54864
148	21683.69849
149	21618.36834
150	21553.88066
151	21521.90178
152	21463.06958
153	21439.8392
154	21395.53106
155	21363.25421
156	21291.78079
157	21254.81356
158	21199.38307
159	21141.21043
160	21104.41196
161	21069.34545
162	21029.64739
163	20983.28089
164	20915.15328
165	20866.6975
166	20792.55687
167	20736.92293
168	20697.30221
169	20644.0965
170	20600.96679
171	20557.56545
172	20502.28383
173	20476.20479
174	20435.55221
175	20389.42701
176	20375.33267
177	20319.08381
178	20267.88734
179	20224.70318
180	20192.15091
181	20157.2116
182	20096.57372
183	20052.13079
184	20016.88966
185	19980.49664
186	19923.73822
187	19878.72779
188	19844.57214
189	19796.91631
190	19757.92883
191	19719.42461
192	19688.71574
193	19639.01316
194	19611.66956
195	19581.77629
196	19539.53865
197	19487.88404
198	19444.87193
199	19404.80153
200	19364.15698
201	19330.15418
202	19287.21297
203	19252.19417
204	19212.84235
205	19184.75806
206	19140.22459
207	19112.41255
208	19081.52442
209	19044.6628
210	19018.89569
211	18988.91618
212	18950.94775
213	18917.19891
214	18873.79514
215	18844.71236
216	18816.83672
217	18799.12251
218	18766.11243
219	18734.24566
220	18706.21971
221	18675.01165
222	18629.62413
223	18599.51989
224	18552.75987
225	18522.47363
226	18501.78316
227	18472.25127
228	18434.25389
229	18406.15125
230	18372.70849
231	18339.75982
232	18307.82207
233	18270.85511
234	18243.31272
235	18211.56874
236	18184.16908
237	18163.32633
238	18130.78124
239	18098.25926
240	18066.15414
241	18035.29726
242	18003.67706
243	17987.83528
244	17949.87207
245	17933.81302
246	17894.91952
247	17854.17225
248	17832.28653
249	17811.77932
250	17800.13698
251	17773.69955
252	17758.811
253	17746.85263
254	17719.43743
255	17691.54964
256	17664.24976
257	17636.49209
258	17618.59408
259	17596.88587
260	17571.62419
261	17545.23529
262	17537.27766
263	17504.56789
264	17480.85182
265	17448.82632
266	17427.79477
267	17420.11962
268	17405.85753
269	17374.0988
270	17365.80683
271	17351.00797
272	17331.63145
273	17301.10054
274	17291.7553
275	17261.04958
276	17253.78218
277	17223.09778
278	17215.95902
279	17186.59366
280	17176.03951
281	17166.66536
282	17137.72012
283	17107.34683
284	17095.62902
