iter	Passed	Remaining
0	3	3835
1	7	3551
2	10	3382
3	13	3303
4	16	3275
5	19	3239
6	22	3197
7	25	3170
8	28	3133
9	31	3116
10	34	3106
11	37	3097
12	40	3072
13	43	3050
14	46	3027
15	49	3017
16	52	3014
17	55	3009
18	58	2999
19	61	2989
20	64	2984
21	67	2987
22	70	2981
23	73	2978
24	76	2973
25	79	2970
26	82	2967
27	85	2961
28	88	2957
29	91	2952
30	94	2946
31	97	2937
32	100	2936
33	103	2933
34	106	2926
35	108	2918
36	111	2910
37	114	2909
38	117	2905
39	120	2903
40	123	2898
41	127	2900
42	130	2901
43	133	2901
44	137	2908
45	140	2911
46	143	2914
47	147	2916
48	150	2917
49	153	2914
50	157	2922
51	160	2922
52	163	2923
53	166	2920
54	170	2922
55	173	2923
56	176	2927
57	180	2930
58	183	2932
59	186	2928
60	189	2923
61	192	2919
62	195	2913
63	198	2908
64	201	2903
65	204	2897
66	207	2895
67	211	2894
68	214	2890
69	217	2885
70	220	2880
71	222	2873
72	225	2867
73	228	2864
74	231	2859
75	234	2854
76	237	2848
77	240	2842
78	243	2837
79	246	2832
80	249	2830
81	252	2826
82	255	2821
83	258	2815
84	261	2813
85	264	2809
86	267	2804
87	270	2799
88	273	2795
89	276	2796
90	279	2792
91	282	2787
92	285	2781
93	288	2776
94	290	2770
95	293	2767
96	296	2763
97	300	2761
98	303	2758
99	306	2756
100	309	2755
101	312	2753
102	315	2750
103	319	2749
104	322	2746
105	325	2744
106	328	2741
107	331	2737
108	334	2734
109	337	2732
110	341	2731
111	344	2730
112	347	2728
113	350	2725
114	353	2722
115	356	2720
116	360	2717
117	363	2715
118	366	2713
119	369	2712
120	373	2710
121	376	2709
122	379	2706
123	382	2703
124	385	2700
125	389	2701
126	392	2700
127	396	2697
128	399	2695
129	402	2690
130	405	2687
131	408	2684
132	411	2681
133	414	2678
134	417	2674
135	420	2669
136	423	2665
137	426	2661
138	429	2659
139	432	2657
140	435	2654
141	438	2652
142	442	2651
143	445	2650
144	448	2645
145	451	2642
146	454	2639
147	457	2634
148	460	2630
149	463	2625
150	466	2621
151	469	2617
152	472	2614
153	475	2612
154	478	2610
155	481	2602
156	484	2599
157	487	2598
158	491	2597
159	494	2595
160	497	2592
161	500	2588
162	503	2584
163	506	2580
164	509	2576
165	511	2571
166	514	2567
167	517	2564
168	520	2559
169	523	2554
170	526	2550
171	528	2546
172	531	2541
173	534	2538
174	537	2534
175	540	2530
176	543	2526
177	546	2521
178	548	2517
179	552	2515
180	555	2511
181	558	2508
182	560	2504
183	563	2500
184	566	2496
185	569	2493
186	572	2489
187	575	2485
188	578	2481
189	581	2478
190	584	2474
191	587	2470
192	589	2466
193	592	2462
194	595	2458
195	598	2455
196	601	2452
197	604	2449
198	607	2446
199	610	2443
200	613	2439
201	616	2435
202	619	2432
203	622	2428
204	625	2425
205	628	2420
206	631	2417
207	633	2413
208	636	2410
209	639	2407
210	642	2403
211	645	2399
212	648	2396
213	651	2392
214	654	2389
215	657	2385
216	659	2381
217	662	2377
218	665	2374
219	668	2370
220	671	2367
221	674	2363
222	677	2360
223	680	2358
224	683	2355
225	687	2352
226	690	2351
227	693	2348
228	696	2346
229	699	2343
230	703	2340
231	705	2336
232	708	2333
233	711	2329
234	714	2325
235	717	2321
236	720	2318
237	723	2314
238	725	2311
239	728	2308
240	731	2305
241	734	2302
242	738	2299
243	741	2296
244	744	2294
245	747	2291
246	750	2287
247	753	2284
248	756	2281
249	759	2277
250	762	2274
251	765	2270
252	767	2267
253	770	2264
254	773	2260
255	776	2257
256	779	2253
257	782	2250
258	785	2246
259	788	2243
260	791	2240
261	794	2238
262	797	2234
263	800	2232
264	803	2228
265	806	2225
266	809	2223
267	812	2220
268	816	2218
269	819	2216
270	824	2218
271	829	2220
272	833	2218
273	836	2216
274	839	2213
275	842	2211
276	845	2207
277	849	2205
278	852	2202
279	855	2199
280	857	2194
281	859	2188
282	862	2185
283	865	2182
284	868	2179
285	871	2176
286	875	2174
287	876	2168
288	879	2162
289	882	2159
290	885	2156
291	888	2153
292	891	2151
293	894	2148
294	897	2144
295	900	2142
296	903	2138
297	906	2136
298	909	2132
299	912	2129
300	915	2125
301	918	2121
302	920	2118
303	923	2115
304	926	2111
305	929	2108
306	932	2105
307	935	2101
308	938	2098
309	941	2095
310	944	2091
311	947	2088
312	950	2085
313	953	2082
314	956	2079
315	959	2077
316	962	2074
317	965	2071
318	969	2068
319	972	2066
320	975	2063
321	978	2061
322	981	2058
323	985	2055
324	988	2052
325	991	2049
326	994	2046
327	997	2044
328	1001	2041
329	1004	2038
330	1007	2035
331	1009	2032
332	1012	2028
333	1015	2025
334	1018	2022
335	1021	2018
336	1024	2015
337	1027	2012
338	1030	2008
339	1033	2005
340	1036	2002
341	1038	1998
342	1041	1995
343	1044	1992
344	1047	1988
345	1050	1985
346	1053	1982
347	1056	1978
348	1058	1975
349	1061	1971
350	1064	1968
351	1067	1965
352	1071	1963
353	1074	1960
354	1077	1957
355	1080	1954
356	1083	1951
357	1086	1947
358	1089	1944
359	1092	1941
360	1095	1938
361	1097	1934
362	1100	1931
363	1104	1929
364	1107	1926
365	1110	1923
366	1113	1920
367	1116	1917
368	1119	1914
369	1122	1911
370	1125	1908
371	1129	1906
372	1132	1903
373	1135	1900
374	1138	1897
375	1141	1894
376	1144	1891
377	1147	1888
378	1150	1885
379	1153	1882
380	1157	1880
381	1160	1877
382	1163	1873
383	1166	1871
384	1169	1868
385	1173	1866
386	1176	1863
387	1179	1860
388	1182	1857
389	1186	1855
390	1189	1852
391	1192	1849
392	1196	1847
393	1199	1844
394	1202	1842
395	1206	1839
396	1209	1836
397	1212	1834
398	1221	1839
399	1228	1843
400	1233	1842
401	1239	1843
402	1244	1843
403	1249	1843
404	1254	1842
405	1260	1843
406	1268	1848
407	1272	1845
408	1275	1842
409	1278	1839
410	1281	1836
411	1284	1833
412	1287	1829
413	1292	1830
414	1296	1827
415	1300	1826
416	1304	1823
417	1307	1820
418	1311	1818
419	1315	1816
420	1318	1813
421	1321	1810
422	1324	1806
423	1327	1803
424	1330	1799
425	1333	1796
426	1336	1793
427	1338	1789
428	1341	1786
429	1344	1782
430	1347	1779
431	1350	1775
432	1353	1772
433	1356	1768
434	1359	1765
435	1362	1761
436	1364	1758
437	1367	1755
438	1370	1751
439	1373	1748
440	1376	1745
441	1379	1741
442	1382	1738
443	1386	1735
444	1389	1732
445	1392	1729
446	1395	1726
447	1398	1723
448	1401	1720
449	1405	1717
450	1408	1714
451	1411	1711
452	1414	1708
453	1417	1705
454	1421	1702
455	1424	1699
456	1427	1696
457	1430	1693
458	1433	1689
459	1436	1686
460	1439	1683
461	1442	1679
462	1445	1676
463	1447	1672
464	1450	1669
465	1453	1665
466	1456	1662
467	1459	1659
468	1462	1655
469	1465	1652
470	1468	1648
471	1471	1645
472	1474	1642
473	1477	1639
474	1480	1636
475	1484	1633
476	1487	1630
477	1490	1627
478	1493	1624
479	1496	1621
480	1499	1618
481	1502	1615
482	1506	1612
483	1509	1609
484	1512	1605
485	1515	1602
486	1518	1599
487	1521	1595
488	1524	1593
489	1537	1600
490	1540	1597
491	1543	1593
492	1546	1590
493	1549	1587
494	1552	1584
495	1556	1581
496	1559	1578
497	1562	1574
498	1565	1571
499	1568	1568
500	1571	1565
501	1574	1562
502	1577	1559
503	1581	1555
504	1584	1552
505	1587	1549
506	1590	1546
507	1593	1543
508	1596	1540
509	1599	1536
510	1602	1533
511	1605	1530
512	1608	1527
513	1611	1523
514	1614	1520
515	1617	1517
516	1620	1514
517	1623	1510
518	1626	1507
519	1629	1504
520	1632	1500
521	1648	1509
522	1651	1505
523	1654	1502
524	1657	1499
525	1660	1496
526	1663	1492
527	1666	1489
528	1669	1486
529	1672	1482
530	1675	1479
531	1678	1476
532	1681	1473
533	1684	1470
534	1687	1466
535	1690	1463
536	1694	1460
537	1697	1457
538	1700	1454
539	1703	1450
540	1706	1447
541	1709	1444
542	1712	1441
543	1716	1438
544	1719	1435
545	1723	1432
546	1726	1429
547	1729	1426
548	1734	1424
549	1737	1421
550	1740	1418
551	1744	1415
552	1747	1412
553	1750	1409
554	1753	1405
555	1756	1402
556	1759	1399
557	1762	1396
558	1765	1393
559	1768	1389
560	1771	1386
561	1774	1383
562	1777	1379
563	1780	1376
564	1782	1372
565	1785	1369
566	1789	1366
567	1792	1363
568	1796	1360
569	1799	1357
570	1802	1354
571	1805	1350
572	1808	1347
573	1811	1344
574	1814	1340
575	1817	1337
576	1819	1334
577	1822	1330
578	1825	1327
579	1828	1324
580	1831	1320
581	1834	1317
582	1837	1314
583	1839	1310
584	1842	1307
585	1845	1304
